product_id,product_name,life_cycle_stage,material_type,quantity_kg,energy_consumption_kwh,transport_distance_km,waste_generated_kg,carbon_impact,energy_impact,water_impact,recycling_rate,landfill_rate,incineration_rate
P001,Reinforced Concrete,manufacturing,concrete,2500.0,120.0,50,125.0,700.0,3870.0,150150.0,0.1,0.8,0.1
P001,Reinforced Concrete,transportation,concrete,2500.0,20.0,100,0.0,150.0,770.0,0.0,0.0,0.0,0.0
P001,Reinforced Concrete,end-of-life,concrete,2500.0,50.0,30,2500.0,200.0,50.0,50.0,0.1,0.8,0.1
P002,Structural Steel Beam,manufacturing,steel,500.0,300.0,200,25.0,1350.0,10300.0,75200.0,0.9,0.05,0.05
P002,Structural Steel Beam,transportation,steel,500.0,40.0,150,0.0,350.0,2540.0,15000.0,0.0,0.0,0.0
P002,Structural Steel Beam,end-of-life,steel,500.0,30.0,40,500.0,150.0,30.0,30.0,0.9,0.05,0.05
P003,Engineered Wood Beam,manufacturing,wood,100.0,80.0,120,5.0,200.0,880.0,8080.0,0.8,0.15,0.05
P003,Engineered Wood Beam,transportation,wood,100.0,15.0,100,0.0,60.0,315.0,0.0,0.0,0.0,0.0
P003,Engineered Wood Beam,end-of-life,wood,100.0,10.0,30,100.0,40.0,10.0,20.0,0.8,0.15,0.05
P004,Clay Brick,manufacturing,clay,2.5,15.0,80,0.25,7.0,50.0,110.0,0.2,0.7,0.1
P004,Clay Brick,transportation,clay,2.5,5.0,60,0.0,3.0,20.0,0.0,0.0,0.0,0.0
P004,Clay Brick,end-of-life,clay,2.5,2.0,20,2.5,1.0,2.0,2.0,0.2,0.7,0.1
P005,Glass Panel,manufacturing,glass,50.0,200.0,150,2.5,600.0,3200.0,10100.0,0.9,0.05,0.05
P005,Glass Panel,transportation,glass,50.0,30.0,120,0.0,120.0,630.0,0.0,0.0,0.0,0.0
P005,Glass Panel,end-of-life,glass,50.0,20.0,40,50.0,80.0,20.0,15.0,0.9,0.05,0.05
P006,Copper Wire,manufacturing,copper,10.0,150.0,200,0.5,400.0,2150.0,5050.0,0.95,0.03,0.02
P006,Copper Wire,transportation,copper,10.0,20.0,150,0.0,80.0,420.0,0.0,0.0,0.0,0.0
P006,Copper Wire,end-of-life,copper,10.0,15.0,30,10.0,60.0,15.0,10.0,0.95,0.03,0.02
P007,Aluminum Cladding,manufacturing,aluminum,20.0,180.0,180,1.0,300.0,680.0,4060.0,0.85,0.1,0.05
P007,Aluminum Cladding,transportation,aluminum,20.0,25.0,140,0.0,62.0,145.0,800.0,0.0,0.0,0.0
P007,Aluminum Cladding,end-of-life,aluminum,20.0,20.0,35,20.0,70.0,20.0,12.0,0.85,0.1,0.05
P008,Insulation Board,manufacturing,mineral wool,15.0,100.0,100,0.75,150.0,100.0,40.0,0.4,0.5,0.1
P008,Insulation Board,transportation,mineral wool,15.0,15.0,80,0.0,30.0,15.0,0.0,0.0,0.0,0.0
P008,Insulation Board,end-of-life,mineral wool,15.0,10.0,25,15.0,45.0,10.0,8.0,0.4,0.5,0.1
P009,Plastic Pipe,manufacturing,polyvinyl chloride,5.0,80.0,120,0.25,120.0,80.0,30.0,0.3,0.6,0.1
P009,Plastic Pipe,transportation,polyvinyl chloride,5.0,10.0,90,0.0,20.0,10.0,0.0,0.0,0.0,0.0
P009,Plastic Pipe,end-of-life,polyvinyl chloride,5.0,5.0,20,5.0,35.0,5.0,5.0,0.3,0.6,0.1
P010,Cement Block,manufacturing,cement,20.0,60.0,70,1.0,103.0,240.0,2525.0,0.15,0.75,0.1
P010,Cement Block,transportation,cement,20.0,10.0,50,0.0,30.0,160.0,0.0,0.0,0.0,0.0
P010,Cement Block,end-of-life,cement,20.0,8.0,15,20.0,25.0,8.0,5.0,0.15,0.75,0.1
P011,Steel Rebar,manufacturing,steel,100.0,250.0,150,5.0,360.0,2250.0,15150.0,0.9,0.05,0.05
P011,Steel Rebar,transportation,steel,100.0,30.0,120,0.0,100.0,530.0,3000.0,0.0,0.0,0.0
P011,Steel Rebar,end-of-life,steel,100.0,20.0,35,100.0,10.0,20.0,10.0,0.9,0.05,0.05
P012,Wood Flooring,manufacturing,wood,50.0,60.0,100,2.5,80.0,460.0,4040.0,0.8,0.15,0.05
P012,Wood Flooring,transportation,wood,50.0,10.0,80,0.0,30.0,160.0,0.0,0.0,0.0,0.0
P012,Wood Flooring,end-of-life,wood,50.0,8.0,25,50.0,20.0,8.0,10.0,0.8,0.15,0.05
P013,Glass Window,manufacturing,glass,40.0,160.0,130,2.0,480.0,2560.0,8080.0,0.9,0.05,0.05
P013,Glass Window,transportation,glass,40.0,25.0,110,0.0,96.0,505.0,0.0,0.0,0.0,0.0
P013,Glass Window,end-of-life,glass,40.0,15.0,35,40.0,64.0,15.0,12.0,0.9,0.05,0.05
P014,Copper Pipe,manufacturing,copper,8.0,120.0,180,0.4,320.0,1720.0,4040.0,0.95,0.03,0.02
P014,Copper Pipe,transportation,copper,8.0,15.0,140,0.0,64.0,335.0,0.0,0.0,0.0,0.0
P014,Copper Pipe,end-of-life,copper,8.0,12.0,25,8.0,48.0,12.0,8.0,0.95,0.03,0.02
P015,Mineral Wool Insulation,manufacturing,mineral wool,12.0,80.0,90,0.6,80.0,80.0,32.0,0.4,0.5,0.1
P015,Mineral Wool Insulation,transportation,mineral wool,12.0,12.0,70,0.0,24.0,12.0,0.0,0.0,0.0,0.0
P015,Mineral Wool Insulation,end-of-life,mineral wool,12.0,8.0,20,12.0,36.0,8.0,6.0,0.4,0.5,0.1
P016,Concrete Block,manufacturing,concrete,15.0,45.0,60,0.75,4.2,67.5,909.0,0.1,0.8,0.1
P016,Concrete Block,transportation,concrete,15.0,8.0,45,0.0,0.8999999999999999,12.5,0.0,0.0,0.0,0.0
P016,Concrete Block,end-of-life,concrete,15.0,6.0,12,15.0,1.2,6.0,3.0,0.1,0.8,0.1
P017,Clay Roof Tile,manufacturing,clay,2.0,12.0,70,0.2,5.6,40.0,88.0,0.2,0.7,0.1
P017,Clay Roof Tile,transportation,clay,2.0,4.0,50,0.0,2.4,16.0,0.0,0.0,0.0,0.0
